#	Historical block-movement classification evidence and the current catalog gate input.
#
#	Every block class that overrides a hook the movement path reaches
#	must appear here, or `:block-catalog:checkClassification` fails the build. That is
#	the guarantee: not that every block is implemented, but that no block is
#	unaccounted for. UNSUPPORTED is a complete and safe answer — touching such a
#	cell must stop the rollout with a diagnosable reason (constraint 4). A class
#	that is simply missing is the dangerous one, because it reads as stone.
#
#	Columns: class, movement classification, server contact, reason.
#
#	The third column answers one narrow question, different from the second:
#	what body does this block's entityInside or stepOn run for a player on the
#	server beyond the movement path — a hit, an effect, a teleport, a freeze.
#	The capture writes it into the block's contact fact and the simulator's
#	server tick runs a MODELED body or refuses an UNMODELED one, so the
#	column must mean this hook family and nothing wider. A fallOn body is the
#	landing fact's. A fluid's body (WaterFluid, LavaFluid) is the fluid entry's,
#	resolved beside the block; LiquidBlock itself runs nothing on a player. A
#	world change the hook schedules (a tilting leaf, a breaking egg, a lit ore)
#	is not a body on the player. Reading lava's danger into LiquidBlock's row
#	once made every captured water cell refuse as an unmodeled block contact
#	in the source project; that is the mistake this contract exists to prevent.
#
#	 NONE no such body, or one that writes nothing on a player
#	 MODELED the simulator's server tick runs it; WorldCapture.contactFor names the class
#	 UNMODELED a body the slice does not model; a visit refuses
#
#	Committed, unlike the generated catalog: this is a list of Mojang symbol
#	names recorded as committed conformance evidence, not derived Mojang data.
#
#	Keyed by implementing class, because a hook inherited from an abstract
#	ancestor is that ancestor's to classify, not each subclass's.
#
#	classes:
#	 MODELED the kernel implements it and executable evidence verifies it
#	 GEOMETRY_ONLY the override only computes a shape; proved shape is a
#	 pure function of the state id, so the shape palette already
#	 carries it and no handler is needed
#	 NO_MOVEMENT_EFFECT the hook runs and touches nothing the audited vector
#	 carries. Needs the body read AND a capture containing the
#	 block agreeing raw-bit across the live, headless, and pure
#	 producers. This is the
#	 one class that can produce a silent wrong answer.
#	 UNSUPPORTED fail closed on contact
#
#	Upgrading an entry out of UNSUPPORTED needs its own differential evidence.
#	Downgrading one needs none because safety is free.
#
#implementing_class	class	server_contact	evidence_or_reason
LecternBlock	GEOMETRY_ONLY	NONE	shape only
LilyPadBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on ServerLevel and the entity being an AbstractBoat
LiquidBlock	MODELED	NONE	water and lava as travel modes; LiquidBlock has no player-affecting entityInside, and WaterFluid.entityInside (extinguish) and LavaFluid.entityInside (clear-freeze, lava contact) are the fluid entry's, captured and simulated beside the block
MagmaBlock	NO_MOVEMENT_EFFECT	MODELED	stepOn only calls entity.hurt(hotFloor); the bubble-columns capture contains magma and agrees raw-bit across live, headless, and pure producers
MossyCarpetBlock	GEOMETRY_ONLY	NONE	shape only
MovingPistonBlock	UNSUPPORTED	NONE	its shape comes from a block entity, so the state id does not determine it; the block-entity displacement runs after LocalPlayer.tick, outside the tick, and is a block actor; neither hook writes a player
MudBlock	GEOMETRY_ONLY	NONE	shape only; its speed factor is in the coefficient palette
NetherPortalBlock	UNSUPPORTED	UNMODELED	entityInside starts a dimension change
PitcherCropBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on ServerLevel, Ravager and mob griefing ; unblocked with CropBlock by the same dependency
PointedDripstoneBlock	NO_MOVEMENT_EFFECT	NONE	fallOn on an upward tip calls causeFallDamage(fallDistance + 2.5, 2.0F, stalagmite) and nothing else: a landing body, the landing fact's (STALAGMITE), not a contact one; the breaking is a world change
PotatoBlock	NO_MOVEMENT_EFFECT	NONE	Same inherited CropBlock.entityInside as BeetrootBlock
PowderSnowBlock	MODELED	MODELED	bootless slice only, including the falling entity-inside shape above fallDistance 2.5; entityInside's FREEZE and the server's EXTINGUISH after it run through the powder collision fact's behavior, with the freeze tail of aiStep in tick/Freezing, so the contact fact is NONE as for LiquidBlock; the melt under a burning player is a world write and refuses
PressurePlateBlock	NO_MOVEMENT_EFFECT	NONE	BasePressurePlateBlock.entityInside is gated on !level.isClientSide and only sets the redstone signal; the plate carries no collision box, which is why a checkpoint plate is stood on rather than in
RedStoneOreBlock	NO_MOVEMENT_EFFECT	NONE	stepOn lights the block on both sides, and LIT changes light only -- same shape, friction, speed and jump
ScaffoldingBlock	MODELED	NONE	the only collision-context-sensitive block
SculkSensorBlock	NO_MOVEMENT_EFFECT	NONE	stepOn is gated on !isClientSide and four further server-only conditions and only schedules a vibration; nothing is written on the player
SculkShriekerBlock	NO_MOVEMENT_EFFECT	UNMODELED	stepOn is gated on ServerLevel and shrieks: Darkness on every player within forty blocks, a server effect on the player the slice does not model; the warden it may summon is a block actor
SlimeBlock	MODELED	NONE	the bounce is Properties.bounceRestitution(1.0F) through restituteMovementAfterCollisions, not a hook; stepOn's horizontal damping is the only override that moves a client player, and fallOn is damage-only
SnowLayerBlock	GEOMETRY_ONLY	NONE	shape only; layer height is a state property
SoulFireBlock	NO_MOVEMENT_EFFECT	MODELED	Same inherited BaseFireBlock.entityInside; minecraft:soul_fire was recorded SAFE alongside fire
SoulSandBlock	GEOMETRY_ONLY	NONE	shape only; its speed factor is in the coefficient palette
StainedGlassPaneBlock	GEOMETRY_ONLY	NONE	Same inherited CrossCollisionBlock.getCollisionShape
SweetBerryBushBlock	MODELED	MODELED	entityInside is makeStuckInBlock(0.8F, 0.75, 0.8F) for a client player; the hurt beside it is ServerLevel-gated
TorchflowerCropBlock	NO_MOVEMENT_EFFECT	NONE	Same inherited CropBlock.entityInside as BeetrootBlock
TripWireBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on !isClientSide; the entity-inside shape only decides whether an inert hook runs
TurtleEggBlock	UNSUPPORTED	NONE	both hooks reach destroyEgg, which is gated on `level instanceof ServerLevel`, so the client hook is bare super; the breaking is a world change under the player, the reason the class is UNSUPPORTED, not a body on the player
WallBlock	GEOMETRY_ONLY	NONE	shape only; connections are baked into the state
WallHangingSignBlock	GEOMETRY_ONLY	NONE	shape only
WeatheringCopperBarsBlock	GEOMETRY_ONLY	NONE	Same inherited CrossCollisionBlock.getCollisionShape
WebBlock	MODELED	NONE	entityInside is makeStuckInBlock(0.25, 0.05F, 0.25); the WEAVING variant needs an effect input the audited state does not carry, and stuck-blocks asserts its absence
WeightedPressurePlateBlock	NO_MOVEMENT_EFFECT	NONE	Same inherited BasePressurePlateBlock.entityInside, ServerLevel-gated and redstone only. Parkour Spiral uses it as a checkpoint, so route planning depends on this classification
WitherRoseBlock	NO_MOVEMENT_EFFECT	UNMODELED	entityInside is gated on ServerLevel
